D:\Project\pixDA\pixDA_GM\results\train240_40_4_pixDAG_DDP_DP3_cataract_0830_DDP_0_DP_0\test_latest_iter40\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.407,0.499,0.690,0.905,0.579,0.527,0.579,
D:\Project\pixDA\pixDA_GM\results\train240_40_4_pixDAG_DDP_DP3_cataract_0830_DDP_0_DP_0\test_latest_iter40\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.399,0.493,0.675,0.900,0.570,0.515,0.570,
D:/Project/pixDA/pixDA_GM/results/train240_40_4_pixDAG_DDP_DP3_cataract_0830_DDP_0_DP_0/test_latest_iter200/images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.406,0.500,0.685,0.904,0.578,0.525,0.578,
D:/Project/pixDA/pixDA_GM/results/train240_40_4_pixDAG_DDP_DP3_cataract_0830_DDP_0_DP_0/test_latest_iter200/images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.397,0.492,0.672,0.899,0.568,0.513,0.568,
D:/Project/pixDA/pixDA_GM/results/train240_40_3_pixDAG_DDP_DP3_drive_DG_0911_DDP_0_DP_0/test_latest_iter200/images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.416,0.513,0.687,0.905,0.588,0.535,0.588,
D:/Project/pixDA/pixDA_GM/results/train240_40_3_pixDAG_DDP_DP3_drive_DG_0911_DDP_0_DP_0/test_latest_iter200/images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.401,0.491,0.686,0.901,0.572,0.518,0.572,
D:\Project\pixDA\pixDA_GM\results\train240_40_3_7_pixDAG_DDP_DP3_drive_DG_0911_DDP_00005_DP_0001_L1_3\test_latest_iter50\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.418,0.516,0.688,0.906,0.590,0.538,0.590,
D:\Project\pixDA\pixDA_GM\results\train240_40_3_7_pixDAG_DDP_DP3_drive_DG_0911_DDP_00005_DP_0001_L1_3\test_latest_iter50\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.413,0.520,0.669,0.901,0.585,0.529,0.585,
D:\Project\pixDA\pixDA_GM\results\train240_40_3_7_pixDAG_DDP_DP3_drive_DG_0911_DDP_00005_DP_0001_L1_3\test_latest_iter40\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.421,0.522,0.684,0.906,0.592,0.540,0.592,
D:\Project\pixDA\pixDA_GM\results\train240_40_3_7_pixDAG_DDP_DP3_drive_DG_0911_DDP_00005_DP_0001_L1_3\test_latest_iter40\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.416,0.528,0.661,0.900,0.587,0.531,0.587,
D:\Project\pixDA\pixDA_GM\results\train240_40_3_7_pixDAG_DDP_DP3_drive_DG_0911_DDP_00005_DP_0001_L1_3\test_latest_iter55\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.422,0.526,0.680,0.905,0.593,0.540,0.593,
D:\Project\pixDA\pixDA_GM\results\train240_40_3_7_pixDAG_DDP_DP3_drive_DG_0911_DDP_00005_DP_0001_L1_3\test_latest_iter55\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.417,0.534,0.656,0.900,0.589,0.532,0.589,
D:\Project\pixDA\pixDA_GM\results\train240_40_3_7_pixDAG_DDP_DP3_drive_DG_0911_DDP_00005_DP_0001_L1_3\test_latest_iter65\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.419,0.523,0.679,0.905,0.591,0.538,0.591,
D:\Project\pixDA\pixDA_GM\results\train240_40_3_7_pixDAG_DDP_DP3_drive_DG_0911_DDP_00005_DP_0001_L1_3\test_latest_iter65\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.413,0.528,0.656,0.899,0.585,0.528,0.585,
D:\Project\pixDA\pixDA_GM\results\train240_40_3_7_pixDAG_DDP_DP3_drive_DG_0911_DDP_00005_DP_0001_L1_3\test_latest_iter70\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.420,0.525,0.678,0.905,0.592,0.539,0.592,
D:\Project\pixDA\pixDA_GM\results\train240_40_3_7_pixDAG_DDP_DP3_drive_DG_0911_DDP_00005_DP_0001_L1_3\test_latest_iter70\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.415,0.531,0.656,0.899,0.587,0.530,0.587,
D:\Project\pixDA\pixDA_GM\results\train240_40_3_7_pixDAG_DDP_DP3_drive_DG_0911_DDP_00005_DP_0001_L1_3\test_latest_iter35\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.417,0.515,0.688,0.906,0.589,0.537,0.589,
D:\Project\pixDA\pixDA_GM\results\train240_40_3_7_pixDAG_DDP_DP3_drive_DG_0911_DDP_00005_DP_0001_L1_3\test_latest_iter35\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.412,0.520,0.664,0.900,0.583,0.527,0.583,
D:\Project\pixDA\pixDA_GM\results\train240_40_3_7_pixDAG_DDP_DP3_drive_DG_0911_DDP_00005_DP_0001_L1_3\test_latest_iter15\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.412,0.505,0.691,0.905,0.583,0.531,0.583,
D:\Project\pixDA\pixDA_GM\results\train240_40_3_7_pixDAG_DDP_DP3_drive_DG_0911_DDP_00005_DP_0001_L1_3\test_latest_iter15\images,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.405,0.506,0.669,0.900,0.577,0.521,0.577,
./datasets/fiq_1229/target_image,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.000,0.000,0.000,0.990,0.000,0.404,0.000,
./datasets/fiq_1229/target_image,pix2pix_dehaze41_1_1_public_default_unet_l1_100_BV_100,0.544,0.660,0.747,0.994,0.700,0.564,0.700,
